Pregunta,respuesta,Tema,Pers/empresa,Polarity,Nota,ambiguedad
"REQUISITOS PARA EL MONTE PIO DE LA VIUDA.
RESIDE EN BABAHOYO
Y SI LOS REQUISITOS SE LOS ENTREGA EN GUAYAQUIL.
El FALLECIÓ EL DE 14 DE FEBRERO PERO NO SE PRESENTARON LOS DOCUMENTOS ANTES YA QUE RECIEN LE DIERON EL CERTIFICADO DE MATRIMONIO DESPUES DE HABER SIDO DEMANDADO EL REGISTRO CIVIL .
Y QUE TIEMPO DURA PARA EL DEPOSITO A LA CUENTA DE LA VIUDA .
ELLA ES PERSONA CON DISCAPACIDAD DEL %76",,IESS,,,,
reservas para el seguro de vehiculos,,Consultoria,,,,
Riesgo financiero,,Otros servicios,,,,
"Riesgo financiero: crediticio, de inversión, interno y externo",,Otros servicios,,,,
saben cual es la calle donde quedan las oficinas de ACTUARIA?,,Contacto,,,,
saben donde queda michoacan?,,No Topic,,,,
saluda alberto,,Greeting,,,,
saludos ,,Greeting,,,,
"Saludos buen día
Cuales son los derechos de la viuda....",,IESS,,,,
saludos cordiales,,Greeting,,,,
"Saludos cordiales mi mamá desea jubilarse va cumplir 65 pero sus aportaciones han sido interrumpidas hasta por 3 años con 16 años de aportes. Será que puede jubilar??
Actualmente sigue aportando",,IESS,,,,ambivalente
"Saludos cordiales mi mamá desea jubilarse va cumplir 65 pero sus aportaciones han sido interrumpidas hasta por 3 años con 16 años de aportes. Será que puede jubilar??
Actualmente sigue aportando",,Jubilacion Patronal,,,,ambivalente
"Saludos, deseo saber cual seria el coto de un estudio actuarial",,Jubilacion Patronal,,,,
seguro de vehiculos,,Consultoria,,,,
Señor actuario mi nombre es Jorge Noboa ; necesito saber lo siguiente he venido aportando la cantidad de usd 100 y desde mediados de este año vengo aportando usd300 y está cantidad Dios mediante quiero seguir aportando hasta diciembre del 2019 que cumplo los 65 años de edad; creo que hasta ese tiempo cumplo 24 o 25 años de aportaciones.Pregunta con  la cantidad que aportó mejóraré en algo mi jubilación y cuanto aproximadamente me darían l,,IESS,,,,
"Señores Actuaria buenas tardes, me permito molestar su atención con una consulta referente al ejemplo que esta en internet sobre el cálculo de pesión del IESS cuando existen variaciones significativas en las remuneraciones con la fórmula anterior y la actual, en el establecen que de acuerdo al promedio simple sería 1.520 y con el nuevo cálculo sería 965.73, de ser posible por favor ayúdenme indicando como llego al valor de 965.73",,IESS,persona,0,,
Señores de Actuaria buenas tardes,,Greeting,,,,
señorita una pregunta mi padre trabaja 36 años en una hacienda privada llamada la querencia mi pdre actualmente tiene 65 años y 125 aporte al iess puedo hacerle una jubilacion patronal o no..........  solo eso ayudeme por favor,,IESS,,,,ambivalente
señorita una pregunta mi padre trabaja 36 años en una hacienda privada llamada la querencia mi pdre actualmente tiene 65 años y 125 aporte al iess puedo hacerle una jubilacion patronal o no..........  solo eso ayudeme por favor,,Jubilacion Patronal,,,,ambivalente
sera que me pueden ayudar con eso,,No Topic,,,,
servicio de asesoria en recursos humanos,,Consultoria,,,,
servicio de jubilacion patronal,,Jubilacion Patronal,,,,
servicios,,No Topic,,,,
servicios de consultoria,,Consultoria,,,,
si,,No Topic,,,,
"Si eres trabajador de una empresa. Busca, compara y propone a tu empleador la mejor capacitación. ",,Charlas/Capacitaciones,,,,
Si retiro mi cesantia puedo en su momento una vez cumplidos los requisitos jubilarme???,,Jubilacion Patronal,,,,
Si se puede jubilación,,IESS,,,,ambivalente
Si se puede jubilación,,Jubilacion Patronal,,,,ambivalente
si tienen oficinas en guayaquil,,Contacto,,,,
Si una persona abandona el trabajo tiene derecho a desahucio?,,Renuncia/Despido/Desahucio,,,,
"Si una persona ha iniciado trámite de jubilación en el Iess ,¿  Podría  trabajar en la misma empresa facturando ? Enviarme respuesta a orounion@yahoo.com",,IESS,,,,
Si uno pone la renuncia uno no puede cobrar cesantia,,Renuncia/Despido/Desahucio,,,,
Sigan asi. Muchas grascias,,Hi Five,,,,
sistemas presupuestarios,,Otros servicios,,,,
"Solicité una cotización y me enviaron dos precios una como NIIF y otra cómo NEC, cuál es la diferencia por favor me podrían aclarar.",,Jubilacion Patronal,empresa,0,,
"Solicitó información de:los aportes del seguro campesino ,de las damas del hogar, y los costos que representan la atención a los hijos de los trabajadores gracias.",,IESS,,,,
"Somos de la compañía TRANSLIBERTADOR S.A., ustedes nos hicieron el favor de realizar el estudio actuarial de jubilación patronal y de desahucio. Existe alguna posibilidad de que nos ayuden guiando con el registro contable de los mismos.",,Jubilacion Patronal,empresa,0,,
Son peritos evaluadores?,,Otros servicios,,,,
Son una muy buena empresa,,Hi Five,,,,
"Soy maestra fiscal, ya tengo 60 años, 34 de aportaciones y el carnet de discapacidad del 36 %, presente mi solicitud para que se me tome en cuenta en el proceso de jubilación. Me llamaron hoy para indicarme que estoy aceptada para jubilarme por discapacidad pero yo no se si debo firmar este tipo de jubilación, ya que yo he escuchado que cuando se jubila por este motivo no se recibe el porcentaje de liquidación que debería recibir por mi edad y mi tiempo de servicio 
Por favor si me pueden orientar ya que debo firmar el día de mañana mi aceptación",,IESS,,,,
"soy proveedor, deseo enviar una factura",,Facturacion/Retencion/Cobros,,,,
Soy representante legal,,No Topic,,,,
"SOY TRABAJADOR PUBLICO  TENGO 63 AÑOS 8 MESES  UNA REMUNERACION DE 818,22  TENGO 375 APORTACIONES Y POR MI ENFERMEDAD PEDI DESAHUCIO A LA iNSTITUCION DONDE TRABAJO DESDE EL AÑO 2000, COMO PUEDO JUBILARME EN EL IESS Y JUBILACION PATRONAL .. MUY AGRADECIDO  POR SU AYUDA,",,IESS,,,,ambivalente
"SOY TRABAJADOR PUBLICO  TENGO 63 AÑOS 8 MESES  UNA REMUNERACION DE 818,22  TENGO 375 APORTACIONES Y POR MI ENFERMEDAD PEDI DESAHUCIO A LA iNSTITUCION DONDE TRABAJO DESDE EL AÑO 2000, COMO PUEDO JUBILARME EN EL IESS Y JUBILACION PATRONAL .. MUY AGRADECIDO  POR SU AYUDA,",,Jubilacion Patronal,,,,ambivalente
"SOY TRABAJADOR PUBLICO  TENGO 63 AÑOS 8 MESES  UNA REMUNERACION DE 818,22  TENGO 375 APORTACIONES Y POR MI ENFERMEDAD PEDI DESAHUCIO A LA iNSTITUCION DONDE TRABAJO DESDE EL AÑO 2000, COMO PUEDO JUBILARME EN EL IESS Y JUBILACION PATRONAL .. MUY AGRADECIDO  POR SU AYUDA,",,Renuncia/Despido/Desahucio,,,,
"Soy una persona dependiente de mi exesposo y el está apunto de jubilarse patronalmente yo como esposa legitleg recibo de ese dinero ayudenme quiero estar asesorada para poder reclamar mis derechos disculpe la molestia porfavor estoy bien preocupada
Gracias de antemano",,Jubilacion Patronal,,,,
SOY x CUANDO ME ENTREGAN EL ESTUDIO,,Jubilacion Patronal,,,"se deriva a jub patronal, se podria revisar (otro topic)",
SOY x CUANDO ME ENTREGAN EL ESTUDIO de jubilacion patronal,,Jubilacion Patronal,,,,
SOY x CUANDO ME ENTREGAN EL ESTUDIO de notas tecnicas,,Consultoria,,,,
SOY x CUANDO ME ENTREGAN EL ESTUDIO de recursos humanos,,Consultoria,,,,
"Srta  DISCULPE  PERO LA  SRTA. KATHERINE DIAZ ME ENVIA UN CORREO QUE NO SE HA CANCELADO EL ESTUDIO ACTUARIAL  DE e CON RUC  r  PERO ESO SE PAGO  Y SE ENVIO LA FACTURA Y LA RESPECTIVA RETENCION AL CORREO  venta5@actuaria.com.ec y en este momento se reenvio un correo a la srta
katherine Diaz
POR FAVOR CONFIRMAR",,Facturacion/Retencion/Cobros,,,,
"Srta. Daniela envie el comprobante de pago por el estudio actuarial de e  con RUC 1390071066001, me dijeron que con el pago me enviaban el trabajo del Estudio Actuarial me podria decir si ya lo tiene por q necesito enviar los balances  a Rentas gracias",,Facturacion/Retencion/Cobros,,,,
"stimados, buenos dias.......necesito una guia para poder ingresar a su pagina y revisar las facturas que nos emiten......por favor.......gracias",,Facturacion/Retencion/Cobros,,,,
Su ayuda con requisitos y precio para realizar el estudio,,No Topic,,,,
Su producto de Clima Laboral R2O mide tambien temas de lugar de trabajo?,,Consultoria,,,,
Su servicio está muy bien calidad/precio.,,Hi Five,,,,
"supuestamente Correa emitió el decreto 225 dodne aquellos que tenian 12años a la fecha del mensionado decreto, perdian la jubilacion patronal 12 años 5meses de servicio perdía la jubilacion patronal",,Jubilacion Patronal,persona,0,,
tableros de control,,Otros servicios,,,,
talvez,,No Topic,,,,
talvez realizan servicios,,No Topic,,,,
temas de inteligencia artificial ,,Consultoria,,,,
"tenemos solo empleado al conserje con salario básico desde el 2000 cuánto nos cobran por solo el cálculo actuarial de esta persona para evaluar requiero si lo despido este año 19 o lo despido el otro que tiene 20 
o si mejor espero a su jubilación en 6 años",,Renuncia/Despido/Desahucio,persona,0,,
"Tenemos una Empresa Pequeña 
necesitamos asesoria Financiera, contable, tributaria, 
Ustedes pueden Ayudarnos con eso",,Otros servicios,,,,
"TENGO 20 AÑOS DE APORTES  (15 EN LA MISMA EMPRESA) Y 56 AÑOS DE EDAD , QUE POSIBILIDAD TENGO DE ACOGERME A UNA JUBILACION. GRACIAS",,Jubilacion Patronal,persona,0,,
"Tengo 24 años trabajando para la misma empresa los primeros 5 años para la empresa después 7 años nos tercerizaron a una contratista en la misma empresa y estos últimos 12 años nos regresaron a la empresa, tengo derecho a la jubilación patronal por los 24 años que e laborado terserizado o no.",,Jubilacion Patronal,,,,
tengo 27 años de servicio y mi sueldo estipulado es de 650 dolares para la jubilación patronal global cuanto debería resivir,,Jubilacion Patronal,,,,
Tengo 40 años de aporte los ultimos 12 ms aporto como profesional 2000 aparte de lo que aporto en relacion dep. que es 1200 me suman estos valores para la jubilacion patronal y cuanto seria la pension? Gracias estimados señores,,Jubilacion Patronal,,,,
Tengo 40 años de aporte los ultimos 12 ms aporto como profesional 2000 aparte de lo que aporto en relacion dep. que es 1200 me suman estos valores para la jubilacion y cuanto seria la pension? Gracias estimados señores,,Jubilacion Patronal,,,,ambivalente
Tengo 40 años de aporte los ultimos 12 ms aporto como profesional 2000 aparte de lo que aporto en relacion dep. que es 1200 me suman estos valores para la jubilacion y cuanto seria la pension? Gracias estimados señores,,IESS,,,,ambivalente
Tengo 40años de aportaciones deseo jubilarme puedo y como cuanto seria mi pencion mensual¿?,,IESS,,,,ambivalente
Tengo 40años de aportaciones deseo jubilarme puedo y como cuanto seria mi pencion mensual¿?,,Jubilacion Patronal,,,,ambivalente
"Tengo 56 años de edad y 25 de aportes. Estoy desempleado pero sigo aportando voluntariamente. Tengo más de 5 buenos años de ingresos y aportes. Escogiendo los 5 mejores promedian más de usd 4.000 de base de cálculo.
La reducción utilizando este nuevo método de la CD 554 es tremendamente drástica. La base de cálculo baja a usd 800. En efecto esto es claramente inconstitucional. La consulta: ¿Está el IESS aplicando este método? ¿Se han interpuesto acciones para revertir este abuso?",,IESS,,,,
"Tengo 56 aportaciones y 67 años de edad, puedo jubilarme?",,IESS,,,,ambivalente
"Tengo 56 aportaciones y 67 años de edad, puedo jubilarme?",,Jubilacion Patronal,,,,ambivalente
"Tengo 57, años 6 meses de edad y 33 años 8 meses de aportes, se me quedo sin empleo puedo aportar voluntariamente? cuanto y de que monto me harían el calculo para la jubilación de el IESS",,IESS,,,,
Tengo 62 año y 352 imposiciones me podria cojer a la juvilacion en octubre q cunplo lad 360 imposicipnes,,IESS,persona,0,,ambivalente
Tengo 62 año y 352 imposiciones me podria cojer a la juvilacion en octubre q cunplo lad 360 imposicipnes,,Jubilacion Patronal,persona,0,,ambivalente
Tengo 64 años y el IESS me jubilo por enfermedad catastrófico el 2007,,IESS,,,,
Tengo 65 años trabaje 29 años en PETROINDUSTRIAL Y al inicio el 2007 me jubile en un fondo paritario de la empresa y los trabajadores con una pension de junilacion patronal de 750 dolar mensual. Pero el 2008 dejaron de pagarme y empesaron a pagarme de un fondo de solaridad 350 mensual violando todos mis derecho yo tenia  al momento de jubilarme un salario de 3200,,IESS,,,,
"Tengo 65 años, mas de 360 aportaciones al iess, quiero renunciar a 2 empresas que trabajo, la una mas de 40 años y la otra mas de 37 años ininterrumpidamente, cual es el paso a seguir despues de presentar las renuncias para acoger mi jubilacion patronal y del iess?, gracias.",,IESS,,,,ambivalente
"Tengo 65 años, mas de 360 aportaciones al iess, quiero renunciar a 2 empresas que trabajo, la una mas de 40 años y la otra mas de 37 años ininterrumpidamente, cual es el paso a seguir despues de presentar las renuncias para acoger mi jubilacion patronal y del iess?, gracias.",,Jubilacion Patronal,,,,ambivalente
Tengo discapacidad fisica de 44 por ciento en julio del 2020 tendre mis 60 aportaciones de un salario basico modificado.  Cual sera la pension que recibire por jubilacion por invalidez?,,IESS,,,,
Tengo un caso llevo trabajando para una empresa multinacional se llama ajecuador entre en mayo 2015 y pasa que desde el 18 de octubre me mandaron de vacaciones por 30 días....regresaba el 18 de noviembre pero a lo que regresó me mandan nuevamente por 15 días más y regreso ahora el 3 diciembre ahora se de buena fuente que a lo que me reintegro me van a sacar de la empresa.... que opciones tengo,,Renuncia/Despido/Desahucio,,,,
Tengo un caso trabajo para la empresa ajecuador desde mayo 2015,,No Topic,,,,
Tengo un caso trabajo para la empresa ajecuador desde mayo 2015. Me quieren despedir. Cuanto me toca?,,Renuncia/Despido/Desahucio,,,,
tengo un cheque para pagar una factura,,Facturacion/Retencion/Cobros,,,,
TENGO UNA CONSULTA,,No Topic,,,,
Tengo una consulta sobre jubilación patronal,,Jubilacion Patronal,persona,0,,
Tengo una consulta sobre recursos humanos,,Consultoria,,,,
"tengo una duda tengo 60 años y 32,5 años de aportes , en la actualiadad estoy realizando la jubilacion por enfermedad catastrofica determinada por los facultativos del IESS , en que me afecta economicamente en mi jubilaciòn, pregunta por cualquiera de los dos casos cual me beneficia mas y cual seria mi monto de jubilacion soy servidor publico 7 con un salario de 1676 mensuales desde hace 8 años conservo el mismo sueldo",,IESS,,,,
Tengo una pregunta del Seguro de Montepio,,IESS,persona,0,,
"Tengo una pregunta por favor:
La Modificación en el cálculo para las pensiones efectuada por el IESS, afecta algún derecho constitucional adquirido ..? puesto que desde el punto de vista netamente económico el aportarte desembolsó un capital para mejorar su jubilación y al final le han restado sus aspiraciones de la inversión.",,IESS,,,,
Tengo una queja para ACTUARIA?',,Queja,,,,
"tenía una duda nos informaron la opcion de crear un fondo de jubilación y de acuerdo a lo que reviso en su pagina web el único que debe administrar este fondo es el Biess 
pero el enfoque fue que se puede realizar un fideicomiso para la administración de los mencionados fondos",,Consultoria,,,,
tiempo de entrega del estudio actuarial,,Jubilacion Patronal,,,,
"Tiene derecho a recibir pensión mensual vitalicia de jubilación por vejez, el afiliado/a  que cumple con los requisitos de cese, edad y tiempo de aportes al IESS, de acuerdo con la siguiente tabla:
",,IESS,,,,
Tienen charlas para nuestro personal?,,Charlas/Capacitaciones,,,,
Tienen informacion sobre su producto de factibilidad financiera,,Otros servicios,,,,
Tienen modelos de Clustering o Segmentación de Datos?,,Consultoria,,,,
Tienen modelos de Detección de Fraude?,,Consultoria,,,,
tienen oficinas en guayaquil?,,Contacto,,,,
Trabajan con modelos predictivos?,,Consultoria,,,,
Trabajan en modelos de Machine learning?,,Consultoria,,,,
Trabajan en modelos de scoring?,,Consultoria,,,,
uds,,No Topic,,,,
"Un consulta y tengo 15 años en una misma empresa , y me voy a jubilar por el IESS, tengo derecho a la parte proporcional acumulada en la empresa",,IESS,,,,
un favor tengo 385 aportaciones y sali de la empresa mi sueldo de los 7 años anteriores es de 1816 mi edad es 56 años me dicen que debo seguir aportando pero que lo haga con lo minimo es decir sobre los 384 SMV es cierto o digame por favor como debo aportar,,IESS,persona,0,,
un saludo ,,Greeting,,,,
un servicio horrible,,Queja,,,,
Una consulta me gustaría saber cuanto me tiene que dar de liquidación la empresa azendelog,,Renuncia/Despido/Desahucio,persona,,,
"Una consulta si tengo 35 años de aportaciones con un mismo patrono y 58 años de edad, puedo jubilarme  en el IESS con un sueldo de basico, pero en la actualidad 500 dólares , cuanto me saldría  y por la patronal cuanto me saldría.",,IESS,,,,ambivalente
"Una consulta si tengo 35 años de aportaciones con un mismo patrono y 58 años de edad, puedo jubilarme  en el IESS con un sueldo de basico, pero en la actualidad 500 dólares , cuanto me saldría  y por la patronal cuanto me saldría.",,Jubilacion Patronal,,,,ambivalente
Una consulta sobre otro tema. Ustedes dan servicios financieros?,,Otros servicios,,,,
"Una consulta soy una afiliada voluntaria viviendo en USA, cuando vivi en Ecuador aporte por mas de 20 anos, actualmente tengo 59 anos y 342 aportaciones, en diciembre del 2020 cumpliré las 360 imposiciones y en junio del 20 cumpliré 60 anos, estoy tratando de ver cuanto me tocara de jubilación y si puedo aportar mas para obtener una mejor jubilación, es algo que tu me podrías ayudar o indicarme como saco la raíz sesentava? por favor ayudame",,IESS,persona,0,,
uNA CONSULTA TENER EL ESTIDIO SE CONIDERA UNA POLITICA CONTABLE BAJO NIFF,,Jubilacion Patronal,,,,
una consulta yo estoy proxima a jubilarme,,IESS,,,,ambivalente
una consulta yo estoy proxima a jubilarme,,Jubilacion Patronal,,,,ambivalente
una consulta yo estoy proxima a jubilarme porq ya cumplo 60 años,,IESS,,,,ambivalente
una consulta yo estoy proxima a jubilarme porq ya cumplo 60 años,,Jubilacion Patronal,,,,ambivalente
una consulta yo estoy proxima a jubilarme porq ya cumplo 60 años en mi empresa,,Jubilacion Patronal,,,,
"Una consulta, cual es la diferencia entre cálculo actuarial para Pymes y para NIIF completas",,Jubilacion Patronal,empresa,NP,,
"una consulta, de acuerdo a las posibles soluciones planteadas en que periodo la autoridad competente del IESS, establecerá las medidas que va a tomar 
hay la posibilidad que me ayude solventando esa inquietud 
gracias de antemano",,IESS,,,,
"Una consulta, que tramite puedo hacer para solicitar la mejora de la jubilacion IESS mi padre, el se jubiló hace 6 años, y sus mejores 5 años aportados fueron de un promedio mensual de 4,500 pero el solo coge 700 mensual de renta",,IESS,,,,
"una consulta, quiero renunciar directo en el,misniterio, a que no mas tengo derechos tengo como 60 dias de vacaciones acumuladas",,Renuncia/Despido/Desahucio,persona,0,,
"Una cosa es la edad a la que fallece una persona (esperanza de vida), sin embargo la mayoría empiezan al menos a tener enfermedades terminales unos diez años antes. Es ahí donde requieren el seguro social. Por otro lado una persona de más de 45 años laboralmente no es fácil que consiga trabajo. Europa está lleno de ancianos actualmente y deben ser sostenidos por las nuevas generaciones. Eso es lo que queremos?",,IESS,,,,
"Una persona que goza de pensión por viudez montepio, si ingresa a laborar y la afilian, pierde algún derecho porque refleja como afiliada?",,IESS,,,,
una pregunta,,No Topic,,,,
"Una pregunta 
cuando se paga desahucio? ",,Renuncia/Despido/Desahucio,,,,
una pregunta ustedes dan charlas?,,Charlas/Capacitaciones,,,,
una pregunta ya tengo los aportes que dice el iess pero tento 53 años puedo jubilarme,,IESS,,,,
Una preguntita por favor,,No Topic,,,,
"Uno de mis lugares favoritos de mi hogar es mi habitación. Siempre que llego a casa voy directamente a mi habitación para descansar y divertirme. Allí paso la mayor parte de mi tiempo libre, escuchando música, leyendo libros interesantes o dibujando todo lo que puedo imaginar. Me siento muy cómodo en mi habitación. Nada más entrar por la puerta se ve al fondo la ventana que deja entrar una agradable luz. Las paredes están pintadas en un tono claro y la lámpara del techo y la alfombra tienen el mismo color.

La cama es muy cómoda y es donde he colocado unos juguetes que me recuerdan a mi infancia. Encima de la cama es el mejor lugar para leer mis novelas preferidas. Me gusta mucho estirarme encima de la cama y contemplar los cuadros de las paredes de mi habitación.

En una esquina de la habitación he colocado un escritorio con una silla que es el lugar donde estudio o donde utilizo mi libro de ejercicios para aprender mejor el español. El escritorio es grande, tengo espacio para todas mis cosas. Encima del escritorio tengo un estante donde ",,No Topic,,,,
usted me uede ayudar con una pregunta de liquidacion,,Renuncia/Despido/Desahucio,persona,0,,
ustedes dan servicios de calculo de desahucio,,Renuncia/Despido/Desahucio,,,,
Ustedes desarrollan Algoritmos de limpieza de Datos?,,Consultoria,,,,
Ustedes desarrollaron este Chatbot Personalizado?,,Consultoria,,,,
Ustedes estan trabajando en mi nota tecnica de medicina prepagada,,Consultoria,,,,
ustedes hacen cálculos de jubilacion patronal verdad? que datos necesitan y cual es el valor del honorario? ,,Jubilacion Patronal,empresa,,,
"ustedes tienen el servicio de facturacion electronica 
para ya no estar generando facturas manuales 
y si tienen sistema de cobranzas para las mismas factura generadas",,Facturacion/Retencion/Cobros,,,,
ustedes tienen servicios de reservas de seguro de carro,,Consultoria,,,,
"Valoración actuarial de las prestaciones de seguridad social, elaboración de balances actuariales y proyección de flujos",,IESS,,,,
valoracion de empresas,,Otros servicios,,,,
"Valoración de empresas para obtener el valor esperado del negocio, según la metodología escogida.",,Otros servicios,,,,
"valoracion de flujos futuros, valor presente neto",,Otros servicios,,,,
Valoración de flujos para determinar la tasa interno de retorno y el valor presente neto de las inversiones o proyectos de las empresas.,,Otros servicios,,,,
valoracion de proyectos,,Otros servicios,,,,
Valoración de proyectos de inversión,,Otros servicios,,,,
"Viabilidad de proyectos de ampliación, contracción o venta",,Otros servicios,,,,
Vivo en chile soy jubilado por el iess desde el 2007 por enfermedad catastrofica y mi pension del iess es de 1350 creo que mis derecho fueron bulnerados. Mi correo es miguelfernando_5@hotmail.com  mi telefono es 56997789884,,IESS,,,,
Vuenas tardes que es un desaucio  ho liquidacion gracias,,Renuncia/Despido/Desahucio,,,,
X favor tengo 62 años de edad y 8 años de aportación cuantas aportaciones me faltaría para jubilarme  gracias,,IESS,persona,0,,ambivalente
X favor tengo 62 años de edad y 8 años de aportación cuantas aportaciones me faltaría para jubilarme  gracias,,Jubilacion Patronal,persona,0,,ambivalente
ya clásicos para el disfrute de los deportes ,,No Topic,,,,
"Ya estoy en el hotel! Ayer por la noche he llegado a la ciudad de Santiago de Compostela. El hotel está a pocos minutos de la catedral. Hace un mes que he hecho la reserva de la habitación. ¡Y estoy encantado! La habitación es de tamaño mediano. Tiene mucha luz y una gran ventana. Tengo una cama grande y una gran caja fuerte. Lamentablemente no tiene cuarto de baño propio, pero hay uno común en el pasillo. He realizado el check-in nada más llegar. Los empleados del hotel son muy amables. Me ha atendido una recepcionista que sabía hablar… ¡8 idiomas!",,No Topic,,,,
"yo estoy en una edad cercana a mi jubilacion. Me gustaria que ustedes me den una asesoria en cuanto a lo que me conviene para dicha etapa.
es posible que pueda acercarme a su sitio de asesoria para poder conversar mejor?",,IESS,,,,ambivalente
"yo estoy en una edad cercana a mi jubilacion. Me gustaria que ustedes me den una asesoria en cuanto a lo que me conviene para dicha etapa.
es posible que pueda acercarme a su sitio de asesoria para poder conversar mejor?",,Jubilacion Patronal,,,,ambivalente
"Yo, trabaje en dos instituciones publicas, suman las dos los años de  trabajo para jubilarme",,IESS,persona,0,,ambivalente
"Yo, trabaje en dos instituciones publicas, suman las dos los años de  trabajo para jubilarme",,Jubilacion Patronal,persona,0,,ambivalente
estoy buscando trabajo,,trabaje con nosotros,,,,
Soy de portoviejo me interesa trabajar,,trabaje con nosotros,,,,
Hola como puedo aplicar para ese trabajo este es mi numero ,,trabaje con nosotros,,,,
Como puedo enviar hoja de vida ,,trabaje con nosotros,,,,
HOL A DONDE DEJA LA HOJA DE VIDA,,trabaje con nosotros,,,,
Hol donde deja la carpeta,,trabaje con nosotros,,,,
Hola donde puedo dejar los papeles,,trabaje con nosotros,,,,
Quiero trabajar estoy desempleados de hace un año de lo que sea ,,trabaje con nosotros,,,,
Me interesa trabajar xfa donde dejo mi carpeta gracias,,trabaje con nosotros,,,,
"Buenas noches, disculpe busco empleo.",,trabaje con nosotros,,,,
Hola quiero saber cómo puedo enviar mi CV,,trabaje con nosotros,,,,
"Buenos dias!!!! Disculpen ando buscando empleo????,Quiero saber si me pueden ayudar para enviar mi CV",,trabaje con nosotros,,,,
Donde puedo enviar mi CV para trabajar con ustedes???,,trabaje con nosotros,,,,
Ando buscando trabajo. En ACTUARIA estan contratando?,,trabaje con nosotros,,,,
"Hola, tienen vacantes? Estoy buscando empleo",,trabaje con nosotros,,,,
"le escribo porque he visto que en ACTUARIA están realizando un proceso de selección para una vacante

Es un placer para mí hacerle llegar mi carta de presentación y currículum, los cuales adjunto en este correo. Me gustaría decirle que estoy realmente interesado en este puesto y considero que puedo desempeñarlo a la perfección.",,trabaje con nosotros,,,,
"Me gustaría compartir mi curriculum con su empresa, a fin de que pueda ser tenido en cuenta para el cargo ",,trabaje con nosotros,,,,
Mi nombre es X y me interesa la oferta laboral publicada por su empresa. Estoy buscando nuevas oportunidades de desarrollo en nuevas empresas,,trabaje con nosotros,,,,
Me ofrezco como profesional para ocupar la vacante de la que disponen en la oferta de empleo. A que email puedo enviar mi Curriculum?,,trabaje con nosotros,,,,
Me gustaria solicitar trabajo por este medio,,trabaje con nosotros,,,,
jubilacion,,IESS,,,,
jubilacion,,Jubilacion Patronal,,,,
cuanto me falta para mi jubilacion,,IESS,,,,
cuanto me falta para mi jubilacion,,Jubilacion Patronal,,,,
cuanto me toca en mi jubilacion,,IESS,,,,
cuanto me toca en mi jubilacion,,Jubilacion Patronal,,,,
que pension puedo recibir si me jubilo,,IESS,,,,
que pension puedo recibir si me jubilo,,Jubilacion Patronal,,,,
normas NIIF,,Jubilacion Patronal,,,,
Cuántas NIIFS plenas están vigentes hoy en día?,,Jubilacion Patronal,,,,
NIC Y 13 NIIFS. ,,Jubilacion Patronal,,,,
que aplica NIIF para Pymes.,,Jubilacion Patronal,,,,
"Las Entidades sin Ánimo de Lucro están
obligadas a acogerse a las NIIF, desde
cuándo?",,Jubilacion Patronal,,,,
"¿Cuál es la diferencia entre NIC y NIIF?
Explicación clara sobre las NIC, ¿cuándo se
aplican? ¿A qué cuentas del balance general
se aplican? ¿Cuándo se utilizan y cómo?",,Jubilacion Patronal,,,,
"¿Cuál es el propósito para los entes
económicos pertenecientes al Grupo 2? En el
proceso de transición hacia las NIIF",,Jubilacion Patronal,,,,
"Buenas tardes, porfavor como me puedo comunicar con ustedes para solicitarle información, mi dirección de correo electrónico es vpjdhc@yahoo.com,  de antemano les agradezco por su ayuda ",,Contacto,,,,
jubilación,,IESS,,,,ambivalente
jubilación,,Jubilacion Patronal,,,,ambivalente
acta de finiquito,,Renuncia/Despido/Desahucio,,,,
requiero un acta de finiquito,,Renuncia/Despido/Desahucio,,,,
cuanto tiempo se demoran en un acta de finiquito? ,,Renuncia/Despido/Desahucio,,,,
necesito que me elaboren un acta de finiquito para salir de mi empresa,,Renuncia/Despido/Desahucio,,,,
cuanto cuesta un fondo global,,Jubilacion Patronal,,,,
ACTUARIA me puede ayudar calculando el fondo global que me tienen que pagar,,Jubilacion Patronal,,,,
Que beneficios tiene que me paguen el fondo global?,,Jubilacion Patronal,,,,
Es preferible elegir un fondo global?,,Jubilacion Patronal,,,,
Ustedes calculan el pasivo laboral?,,Jubilacion Patronal,,,,
porque mi pasivo laboral esta tan alto?,,Jubilacion Patronal,,,,
como disminuyo mi pasivo laboral,,Jubilacion Patronal,,,,
Un fondo global es la suma de todos mis pagos futuros?,,Jubilacion Patronal,,,,
el pasivo laboral,,Jubilacion Patronal,,,,
no entiendo porque ha aumentado mi pasivo laboral,,Jubilacion Patronal,,,,
buenos dias me podria ayudar aclarando la Jubilacion Patronal si me paga la empresa o el Iess,,Jubilacion Patronal,,,,ambivalente
buenos dias me podria ayudar aclarando la Jubilacion Patronal si me paga la empresa o el Iess,,IESS,,,,ambivalente
"La pregunta es que la abuelita de mi esposa recibe el beneficio de montepio y todos los hijos son mayores de edad no se a vuelto a casar, el detalle es que recien le detectaron cancer y quiero averiguar como procede el montepio y sus beneficios al ella fallecer. Muchas gracias por la información. Mi correo es m_alejito@hotmail.com",,IESS,,,,
